CountryCode,PostalCode,Place,State,StateCode,Latitude,Longtitude,AccuracyType
CA,M1B 0A1,Scarborough,Ontario,ON,43.6865,-79.2797,6
CA,M1B 0A2,Scarborough,Ontario,ON,43.8164,-79.2273,6
CA,M1B 0A3,Scarborough,Ontario,ON,43.8102,-79.1903,6
CA,M1B 0A4,Scarborough,Ontario,ON,43.8102,-79.1903,6
CA,M1B 0A5,Scarborough,Ontario,ON,43.7895,-79.2366,6
CA,M1B 0A6,Scarborough,Ontario,ON,43.7945,-79.2196,6
CA,M1B 0A7,Scarborough,Ontario,ON,43.8005,-79.1991,6
CA,M1B 0A8,Scarborough,Ontario,ON,43.8079,-79.181,6
CA,M1B 0A9,Scarborough,Ontario,ON,43.8102,-79.1903,6
CA,M1B 0B1,Scarborough,Ontario,ON,43.8102,-79.1903,6
CA,M1B 0B2,Scarborough,Ontario,ON,43.8067,-79.1944,6
CA,M1B 0B3,Scarborough,Ontario,ON,43.7921,-79.237,6
CA,M1B 0B4,Scarborough,Ontario,ON,43.8002,-79.1792,6
CA,M1B 0B5,Scarborough,Ontario,ON,43.8067,-79.1944,6
CA,M1B 0B6,Scarborough,Ontario,ON,43.8067,-79.1944,6
CA,M1B 0B7,Scarborough,Ontario,ON,43.8067,-79.1944,6
CA,M1B 0B8,Scarborough,Ontario,ON,43.8067,-79.1944,6
CA,M1B 0B9,Scarborough,Ontario,ON,43.8059,-79.2075,6
CA,M1B 0C1,Scarborough,Ontario,ON,43.8116,-79.2253,6
CA,M1B 0C2,Scarborough,Ontario,ON,43.8116,-79.2253,6
CA,M1B 0C4,Scarborough,Ontario,ON,43.8116,-79.2253,6
CA,M1B 0C5,Scarborough,Ontario,ON,43.7905,-79.2342,6
CA,M1B 0C6,Scarborough,Ontario,ON,43.8014,-79.218,6
CA,M1B 0C7,Scarborough,Ontario,ON,43.808,-79.2264,6
CA,M1B 0C8,Scarborough,Ontario,ON,43.7937,-79.2398,6
CA,M1B 0C9,Scarborough,Ontario,ON,43.8026,-79.1968,6
CA,M1B 0E1,Scarborough,Ontario,ON,43.7931,-79.2366,6
CA,M1B 0E3,Scarborough,Ontario,ON,43.7937,-79.2398,6
CA,M1B 0E4,Scarborough,Ontario,ON,43.8017,-79.2062,6
CA,M1B 0E5,Scarborough,Ontario,ON,43.7764,-79.2318,6
CA,M1B 1A1,Scarborough,Ontario,ON,43.7977,-79.2272,6
CA,M1B 1A2,Scarborough,Ontario,ON,43.7983,-79.2275,6
CA,M1B 1A3,Scarborough,Ontario,ON,43.7983,-79.2261,6
CA,M1B 1A4,Scarborough,Ontario,ON,43.7981,-79.2267,6
